date,foreign_tx_net_oi,advancers,decliners,adv_dec_ratio,pct_above_ma60,sox_bias_ma60_pct,sox_ret_5d_pct,adr_premium_pct,score_chip,score_breadth,score_intl,composite_risk,light,margin_balance_k,taiex_close,margin_minus_index_5d_pct,score_leverage
2026-07-30,-81017.0,228.0,796.0,0.286,20.35,-10.57,-9.09,17.49,85.0,100.0,100.0,94.0,紅,493867294.0,39933.3,,
2026-07-31,-82515.0,896.0,150.0,5.973,24.26,-9.47,-3.82,8.2,85.0,97.6,88.0,90.0,紅,507462771.0,43119.75,,
2026-08-01,,,,,,-9.91,-4.3,7.67,,,90.5,90.5,紅,,,,
2026-08-03,-90038.0,652.0,360.0,1.811,25.98,-11.84,-4.26,9.81,85.0,93.8,90.7,89.5,紅,514755393.0,43386.41,,
2026-08-04,-87858.0,603.0,410.0,1.471,26.12,-8.96,-1.08,13.41,85.0,93.5,79.6,86.4,紅,521134665.0,43360.66,,
2026-08-05,-87199.0,687.0,301.0,2.282,28.48,-3.12,10.36,11.94,85.0,88.3,59.4,79.3,紅,523492321.0,44611.6,,
2026-08-06,-89383.0,534.0,448.0,1.192,30.58,-4.51,14.95,12.77,85.0,83.7,63.5,74.1,紅,532804981.0,44396.7,2.03,60.0
2026-08-07,-87911.0,498.0,513.0,0.971,32.82,-4.19,6.6,13.8,85.0,78.8,62.6,77.0,紅,,,,
2026-08-10,-89201.0,750.0,258.0,2.907,37.13,-1.82,9.25,13.7,85.0,69.3,55.5,71.9,紅,,,,
2026-08-11,-88924.0,386.0,594.0,0.65,35.31,-4.7,4.93,12.64,85.0,73.3,64.1,75.5,紅,,,,
2026-08-12,-86633.0,618.0,372.0,1.661,36.27,-3.84,-0.66,12.54,85.0,71.2,63.2,74.6,紅,,,,
2026-08-13,-86249.0,444.0,549.0,0.809,36.65,-1.53,3.25,13.2,85.0,70.4,54.6,72.0,紅,,,,
