日期,類型,代號,名稱,評級,分數,產業,狀態,來源摘要,基準價,樣本代號,隔日漲跌%,3日最高漲幅%,5日最高漲幅%,是否達標,是否失敗,更新時間
2026-05-23,A級,3444,利機,A,201.5,電子通路業,🔥 第一段 (主升起漲),🚀 穩步多頭,97.0,,,,,,,2026-05-23 11:06:50
2026-05-23,B級,2454,聯發科,B,206.9,半導體業,⏳ 觀望醞釀,⚪ 震盪,3860.0,,,,,,,2026-05-23 11:06:50
2026-05-23,B級,2388,威盛,B,188.4,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,88.0,,,,,,,2026-05-23 11:06:50
2026-05-23,B級,5464,霖宏,B,180.8,電子零組件業,🔥 第一段 (主升起漲),🚀 穩步多頭,71.0,,,,,,,2026-05-23 11:06:50
2026-05-23,S級,3443,創意,S,273.3,半導體業,⏳ 觀望醞釀,⚪ 震盪,5140.0,,,,,,,2026-05-23 11:06:50
2026-05-23,S級,6829,千附精密,S,266.2,半導體業,⏳ 觀望醞釀,⚪ 震盪,211.5,,,,,,,2026-05-23 11:06:50
2026-05-23,S級,8046,南電,S,213.4,電子零組件業,⏳ 觀望醞釀,⚪ 震盪,934.0,,,,,,,2026-05-23 11:06:50
2026-05-23,S級,2070,精湛,S,212.2,電機機械,⏳ 觀望醞釀,⚪ 震盪,66.80000305175781,,,,,,,2026-05-23 11:06:50
2026-05-23,S級,3661,世芯-KY,S,207.2,半導體業,⏳ 觀望醞釀,⚪ 震盪,4895.0,,,,,,,2026-05-23 11:06:50
2026-05-23,S級,4933,友輝,S,177.5,光電業,🔥 第一段 (主升起漲),🚀 穩步多頭,73.9000015258789,,,,,,,2026-05-23 11:06:50
2026-05-23,主動ETF,00400A,主動國泰動能高息,🟢 可分批,100.0,ETF,🟢 可分批,趨勢強，可小量分批，不追高,13.9,,,,,,,2026-05-23 11:06:50
2026-05-23,主動ETF,00981A,00981A,🟢 可分批,100.0,ETF,🟢 可分批,趨勢強，可小量分批，不追高,29.95,,,,,,,2026-05-23 11:06:50
2026-05-23,主動ETF,00982A,00982A,🟢 可分批,81.6,ETF,🟢 可分批,趨勢強，可小量分批，不追高,22.64,,,,,,,2026-05-23 11:06:50
2026-05-23,主動ETF,00980A,00980A,🔵 續抱觀察,78.1,ETF,🔵 續抱觀察,站在 M5 上可續看,23.16,,,,,,,2026-05-23 11:06:50
2026-05-23,主動ETF,00983A,00983A,🔵 續抱觀察,74.3,ETF,🔵 續抱觀察,站在 M5 上可續看,11.59,,,,,,,2026-05-23 11:06:50
2026-05-23,特殊關注,4991,環宇-KY,特殊關注,166.2,半導體業,🔥 第一段 (主升起漲),🔥 爆量主升,814.0,,,,,,,2026-05-23 11:06:50
2026-05-23,特殊關注,3217,優群,特殊關注,160.2,電子零組件業,🔥 第一段 (主升起漲),🔥 爆量主升,207.0,,,,,,,2026-05-23 11:06:50
2026-05-23,特殊關注,3189,景碩,特殊關注,159.4,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,609.0,,,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND電子通路業,電子通路業,🔥 主戰場,100.0,電子通路業,🔥 主戰場,可信度 高｜樣本 11｜只做龍頭回測，不追第三根,,"3444,6227,6154,6118,6270,6265,6113,8096,8032,8068",,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND半導體業,半導體業,🔥 主戰場,100.0,半導體業,🔥 主戰場,可信度 高｜樣本 93｜只做龍頭回測，不追第三根,,"3443,6829,3661,2454,2388,4991,3189,3122,8261,3707",,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND電腦及週邊設備業,電腦及週邊設備業,🔥 主戰場,100.0,電腦及週邊設備業,🔥 主戰場,可信度 高｜樣本 45｜只做龍頭回測，不追第三根,,"3709,6414,3088,2495,3213,5289,8234,3706,2356,8050",,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND通信網路業,通信網路業,🔥 主戰場,100.0,通信網路業,🔥 主戰場,可信度 高｜樣本 38｜只做龍頭回測，不追第三根,,"6245,4908,2455,3234,4979,6143,6190,7717,6442,8048",,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND電子零組件業,電子零組件業,🔥 主戰場,100.0,電子零組件業,🔥 主戰場,可信度 高｜樣本 95｜只做龍頭回測，不追第三根,,"8046,5464,3217,4939,3236,6284,8358,2327,8182,4958",,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND電機機械,電機機械,🔥 主戰場,100.0,電機機械,🔥 主戰場,可信度 高｜樣本 29｜只做龍頭回測，不追第三根,,"2070,7750,4533,3167,8996,4543,4527,1513,4580,6609",,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND光電業,光電業,🔥 主戰場,100.0,光電業,🔥 主戰場,可信度 高｜樣本 39｜只做龍頭回測，不追第三根,,"4933,3339,5220,5371,6120,5392,6859,3516,3008,3059",,,,,,2026-05-23 11:06:50
2026-05-23,產業輪動,IND其他電子業,其他電子業,🔥 主戰場,93.0,其他電子業,🔥 主戰場,可信度 高｜樣本 31｜只做龍頭回測，不追第三根,,"8021,6139,3289,6196,4577,3285,3465,6654,3580,3402",,,,,,2026-05-23 11:06:50
2026-05-20,B級,4933,友輝,B,132.5,光電業,⏳ 觀望醞釀,⚪ 震盪,72.5,,,,,,,2026-05-20 12:53:23
2026-05-20,B級,5464,霖宏,B,126.0,電子零組件業,🔥 第一段 (主升起漲),🚀 穩步多頭,67.5,,,,,,,2026-05-20 12:53:23
2026-05-20,B級,6411,晶焱,B,108.5,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,86.0,,,,,,,2026-05-20 12:53:23
2026-05-20,B級,8097,常珵,B,104.6,通信網路業,🔥 第一段 (主升起漲),🔥 爆量主升,57.29999923706055,,,,,,,2026-05-20 12:53:23
2026-05-20,B級,3516,亞帝歐,B,100.9,光電業,🛡️ 第二段 (均線回踩),🛡️ 回踩 M10,23.0,,,,,,,2026-05-20 12:53:23
2026-05-20,B級,8109,博大,B,100.8,電子零組件業,⏳ 觀望醞釀,⚪ 震盪,126.5,,,,,,,2026-05-20 12:53:23
